feature,coefficient
cat__BsmtExposure_No,-0.01584306133325868
cat__BsmtFinType1_Unf,-0.016097788314100674
cat__BsmtCond_TA,-0.016206309307778187
cat__GarageQual_Fa,-0.01657275442641622
cat__PavedDrive_N,-0.01682840336603567
cat__FireplaceQu_Fa,-0.018123878767760906
cat__Fence_MnWw,-0.018618603857185664
cat__BsmtExposure_Mn,-0.019926584186436697
cat__LandContour_Low,-0.020187575165270862
cat__HouseStyle_SLvl,-0.021762051476040864
cat__Exterior1st_CBlock,-0.022014984583493106
cat__Exterior2nd_CBlock,-0.022014984583493106
cat__Street_Grvl,-0.022358994057971735
cat__BldgType_Duplex,-0.023321535883349443
cat__GarageCond_TA,-0.02368713131481822
cat__MasVnrType_BrkCmn,-0.024090170258956132
cat__BsmtCond_Gd,-0.02498074439176236
cat__KitchenQual_Gd,-0.025416596258354664
cat__KitchenQual_TA,-0.02543159486338664
cat__FireplaceQu_Ex,-0.025969887041129697
cat__HouseStyle_SFoyer,-0.02598765725694617
cat__LandContour_Bnk,-0.026002836854520296
cat__HouseStyle_2Story,-0.026347768049755402
cat__BsmtQual_TA,-0.02673413703219082
cat__ExterCond_Gd,-0.029017623939859155
cat__CentralAir_N,-0.029082694515588266
cat__Exterior2nd_Brk Cmn,-0.02949863642965136
cat__GarageCond_Fa,-0.031230120368976235
cat__Neighborhood_Mitchel,-0.03135738400933423
cat__RoofStyle_Flat,-0.033719990294153304
cat__Neighborhood_NWAmes,-0.03437928113531123
cat__Exterior2nd_MetalSd,-0.03541496929373844
cat__Neighborhood_NAmes,-0.035786987871933115
cat__Neighborhood_OldTown,-0.0358364516649513
cat__MiscFeature_Othr,-0.037026904735510166
cat__SaleCondition_Partial,-0.03767164881960788
cat__Condition1_PosA,-0.03863197381284473
cat__SaleType_COD,-0.03923746753562292
cat__BsmtFinType2_BLQ,-0.03978361506292635
cat__Alley_Grvl,-0.04035708580331642
cat__Exterior2nd_BrkFace,-0.04469771907747762
cat__Exterior1st_CemntBd,-0.04635579111201671
cat__Exterior2nd_AsbShng,-0.04689614072788213
cat__SaleCondition_Family,-0.047248120353986345
cat__Exterior1st_Wd Sdng,-0.04816023030995817
cat__MiscFeature_Gar2,-0.04902393309915112
cat__Condition2_RRAe,-0.04902393309915112
cat__HouseStyle_2.5Fin,-0.049138261870549864
cat__MiscFeature_TenC,-0.049760565132338896
cat__PoolQC_Fa,-0.049760565132338896
cat__Neighborhood_BrDale,-0.05081305306981079
cat__Heating_Floor,-0.05109178529899845
cat__Exterior1st_WdShing,-0.052048555742704755
cat__BldgType_Twnhs,-0.057111058257119894
cat__PoolQC_Ex,-0.057968955505718865
cat__RoofStyle_Gambrel,-0.06145640799785508
cat__Electrical_FuseP,-0.0617437672666716
cat__Condition1_Artery,-0.06267164774576872
cat__Neighborhood_Edwards,-0.06446689946890333
cat__Condition1_RRAe,-0.06550896463726454
cat__Exterior2nd_Stone,-0.06971808791755967
cat__SaleType_WD,-0.07061743506862594
cat__Neighborhood_IDOTRR,-0.07093165541168929
cat__SaleCondition_Abnorml,-0.07238841597045835
cat__HeatingQC_Po,-0.07840702178838643
